byte,bit,nummer
301,1,701509
301,2,701510
301,3,701511
301,4,701512
301,5,701513
301,6,701514
301,7,701515
302,0,701516
302,1,701517
302,2,701518
302,3,701519
302,4,701520
302,5,701521
302,6,701522
302,7,701523
303,0,701524
303,1,701525
303,2,701526
303,3,701527
303,4,701528
303,5,701529
303,6,701530
303,7,701531
304,0,701532
304,1,701533
304,2,701534
304,3,701535
304,4,701536
304,5,701537
304,6,701538
304,7,701539
305,0,701540
305,1,701541
305,2,701542
305,3,701543
305,4,701544
305,5,701545
305,6,701546
305,7,701547
306,0,701548
306,1,701549
306,2,701550
306,3,701551
306,4,701552
306,5,701553
306,6,701554
306,7,701555
307,0,701556
307,1,701557
307,2,701558
307,3,701559
307,4,701560
307,5,701561
307,6,701562
307,7,701563
308,0,701600
308,1,701601
308,2,701602
308,3,701603
308,4,701604
308,5,701605
308,6,701606
308,7,701607
309,0,701608
309,1,701609
309,2,701610
309,3,701611
309,4,701612
309,5,701613
309,6,701614
309,7,701615
310,0,701616
310,1,701617
310,2,701618
310,3,701619
310,4,701620
310,5,701621
310,6,701622
310,7,701623
311,0,701624
311,1,701625
311,2,701626
311,3,701627
311,4,701628
311,5,701629
311,6,701630
311,7,701631
312,0,701632
312,1,701633
312,2,701634
312,3,701635
312,4,701636
312,5,701637
312,6,701638
312,7,701639
313,0,701640
313,1,701641
313,2,701642
313,3,701643
313,4,701644
313,5,701645
313,6,701646
313,7,701647
314,0,701648
314,1,701649
314,2,701650
314,3,701651
314,4,701652
314,5,701653
314,6,701654
314,7,701655
315,0,701656
315,1,701657
315,2,701658
315,3,701659
315,4,701660
315,5,701661
315,6,701662
315,7,701663
316,0,701700
316,1,701701
316,2,701702
316,3,701703
316,4,701704
316,5,701705
316,6,701706
316,7,701707
317,0,701708
317,1,701709
317,2,701710
317,3,701711
317,4,701712
317,5,701713
317,6,701714
317,7,701715
318,0,701716
318,1,701717
318,2,701718
318,3,701719
318,4,701720
318,5,701721
318,6,701722
318,7,701723
319,0,701724
319,1,701725
319,2,701726
319,3,701727
319,4,701728
319,5,701729
319,6,701730
319,7,701731
320,0,701732
320,1,701733
320,2,701734
320,3,701735
320,4,701736
320,5,701737
320,6,701738
320,7,701739
321,0,701740
321,1,701741
321,2,701742
